Begin Timestamp,End Timestamp,Begin Date,End Date,Domain,Messages
1524664800.0,1524668399.0,2018-04-25 14:00 GMT,2018-04-25 14:59 GMT,bancodechile.cl,188
1524664800.0,1524668399.0,2018-04-25 14:00 GMT,2018-04-25 14:59 GMT,unknown domain,6
1524668400.0,1524671999.0,2018-04-25 15:00 GMT,2018-04-25 15:59 GMT,bancodechile.cl,122
1524668400.0,1524671999.0,2018-04-25 15:00 GMT,2018-04-25 15:59 GMT,unknown domain,27
1524672000.0,1524675599.0,2018-04-25 16:00 GMT,2018-04-25 16:59 GMT,bancodechile.cl,195
1524672000.0,1524675599.0,2018-04-25 16:00 GMT,2018-04-25 16:59 GMT,unknown domain,40
1524675600.0,1524679199.0,2018-04-25 17:00 GMT,2018-04-25 17:59 GMT,bancodechile.cl,260
1524675600.0,1524679199.0,2018-04-25 17:00 GMT,2018-04-25 17:59 GMT,unknown domain,26
1524679200.0,1524682799.0,2018-04-25 18:00 GMT,2018-04-25 18:59 GMT,bancodechile.cl,599
1524679200.0,1524682799.0,2018-04-25 18:00 GMT,2018-04-25 18:59 GMT,unknown domain,10
1524682800.0,1524686399.0,2018-04-25 19:00 GMT,2018-04-25 19:59 GMT,bancodechile.cl,553
1524682800.0,1524686399.0,2018-04-25 19:00 GMT,2018-04-25 19:59 GMT,unknown domain,39
1524686400.0,1524689999.0,2018-04-25 20:00 GMT,2018-04-25 20:59 GMT,bancodechile.cl,658
1524686400.0,1524689999.0,2018-04-25 20:00 GMT,2018-04-25 20:59 GMT,unknown domain,37
1524690000.0,1524693599.0,2018-04-25 21:00 GMT,2018-04-25 21:59 GMT,bancodechile.cl,303
1524690000.0,1524693599.0,2018-04-25 21:00 GMT,2018-04-25 21:59 GMT,unknown domain,12
1524693600.0,1524697199.0,2018-04-25 22:00 GMT,2018-04-25 22:59 GMT,bancodechile.cl,244
1524693600.0,1524697199.0,2018-04-25 22:00 GMT,2018-04-25 22:59 GMT,unknown domain,5
1524697200.0,1524700799.0,2018-04-25 23:00 GMT,2018-04-25 23:59 GMT,bancodechile.cl,190
1524697200.0,1524700799.0,2018-04-25 23:00 GMT,2018-04-25 23:59 GMT,unknown domain,10
1524700800.0,1524704399.0,2018-04-26 00:00 GMT,2018-04-26 00:59 GMT,bancodechile.cl,125
1524700800.0,1524704399.0,2018-04-26 00:00 GMT,2018-04-26 00:59 GMT,unknown domain,4
1524704400.0,1524707999.0,2018-04-26 01:00 GMT,2018-04-26 01:59 GMT,bancodechile.cl,123
1524704400.0,1524707999.0,2018-04-26 01:00 GMT,2018-04-26 01:59 GMT,unknown domain,8
1524708000.0,1524711599.0,2018-04-26 02:00 GMT,2018-04-26 02:59 GMT,bancodechile.cl,129
1524708000.0,1524711599.0,2018-04-26 02:00 GMT,2018-04-26 02:59 GMT,unknown domain,9
1524711600.0,1524715199.0,2018-04-26 03:00 GMT,2018-04-26 03:59 GMT,bancodechile.cl,171
1524711600.0,1524715199.0,2018-04-26 03:00 GMT,2018-04-26 03:59 GMT,unknown domain,22
1524715200.0,1524718799.0,2018-04-26 04:00 GMT,2018-04-26 04:59 GMT,bancodechile.cl,134
1524715200.0,1524718799.0,2018-04-26 04:00 GMT,2018-04-26 04:59 GMT,unknown domain,17
1524718800.0,1524722399.0,2018-04-26 05:00 GMT,2018-04-26 05:59 GMT,bancodechile.cl,174
1524718800.0,1524722399.0,2018-04-26 05:00 GMT,2018-04-26 05:59 GMT,unknown domain,15
1524722400.0,1524725999.0,2018-04-26 06:00 GMT,2018-04-26 06:59 GMT,bancodechile.cl,189
1524722400.0,1524725999.0,2018-04-26 06:00 GMT,2018-04-26 06:59 GMT,unknown domain,144
1524726000.0,1524729599.0,2018-04-26 07:00 GMT,2018-04-26 07:59 GMT,bancodechile.cl,174
1524726000.0,1524729599.0,2018-04-26 07:00 GMT,2018-04-26 07:59 GMT,unknown domain,7
1524729600.0,1524733199.0,2018-04-26 08:00 GMT,2018-04-26 08:59 GMT,bancodechile.cl,139
1524729600.0,1524733199.0,2018-04-26 08:00 GMT,2018-04-26 08:59 GMT,unknown domain,20
1524733200.0,1524736799.0,2018-04-26 09:00 GMT,2018-04-26 09:59 GMT,bancodechile.cl,76
1524733200.0,1524736799.0,2018-04-26 09:00 GMT,2018-04-26 09:59 GMT,unknown domain,16
1524736800.0,1524740399.0,2018-04-26 10:00 GMT,2018-04-26 10:59 GMT,bancodechile.cl,127
1524736800.0,1524740399.0,2018-04-26 10:00 GMT,2018-04-26 10:59 GMT,unknown domain,44
1524740400.0,1524743999.0,2018-04-26 11:00 GMT,2018-04-26 11:59 GMT,bancodechile.cl,131
1524740400.0,1524743999.0,2018-04-26 11:00 GMT,2018-04-26 11:59 GMT,unknown domain,77
1524744000.0,1524747599.0,2018-04-26 12:00 GMT,2018-04-26 12:59 GMT,bancodechile.cl,1821
1524744000.0,1524747599.0,2018-04-26 12:00 GMT,2018-04-26 12:59 GMT,unknown domain,302
1524747600.0,1524751199.0,2018-04-26 13:00 GMT,2018-04-26 13:59 GMT,bancodechile.cl,141
1524747600.0,1524751199.0,2018-04-26 13:00 GMT,2018-04-26 13:59 GMT,unknown domain,30
1524751200.0,1524754799.0,2018-04-26 14:00 GMT,2018-04-26 14:59 GMT,bancodechile.cl,56
1524751200.0,1524754799.0,2018-04-26 14:00 GMT,2018-04-26 14:59 GMT,unknown domain,14
1526317200.0,1526320799.0,2018-05-14 17:00 GMT,2018-05-14 17:59 GMT,bancodechile.cl,85
1526317200.0,1526320799.0,2018-05-14 17:00 GMT,2018-05-14 17:59 GMT,unknown domain,106
1526320800.0,1526324399.0,2018-05-14 18:00 GMT,2018-05-14 18:59 GMT,bancodechile.cl,107
1526320800.0,1526324399.0,2018-05-14 18:00 GMT,2018-05-14 18:59 GMT,unknown domain,64
1526324400.0,1526327999.0,2018-05-14 19:00 GMT,2018-05-14 19:59 GMT,bancodechile.cl,80
1526324400.0,1526327999.0,2018-05-14 19:00 GMT,2018-05-14 19:59 GMT,unknown domain,94
1526328000.0,1526331599.0,2018-05-14 20:00 GMT,2018-05-14 20:59 GMT,bancodechile.cl,685
1526328000.0,1526331599.0,2018-05-14 20:00 GMT,2018-05-14 20:59 GMT,unknown domain,394
1526331600.0,1526335199.0,2018-05-14 21:00 GMT,2018-05-14 21:59 GMT,bancodechile.cl,2607
1526331600.0,1526335199.0,2018-05-14 21:00 GMT,2018-05-14 21:59 GMT,unknown domain,1353
1526335200.0,1526338799.0,2018-05-14 22:00 GMT,2018-05-14 22:59 GMT,bancodechile.cl,315
